"","out_B14.5.fq.gz.bam","out_B15.5.fq.gz.bam","out_B17.5.fq.gz.bam","out_B20.fq.gz.bam","out_B34.fq.gz.bam","out_C14.5.fq.gz.bam","out_C15.5.fq.gz.bam","out_C17.5.fq.gz.bam","out_C20.fq.gz.bam","out_C34.fq.gz.bam"
"MSTRG.996",15,15,12,19,8,21,21,28,28,4
"MSTRG.997",1,0,1,0,0,0,0,0,0,0
"MSTRG.998",171,162,131,173,114,141,183,215,244,44
"MSTRG.999",4,4,6,11,20,11,8,8,27,3
"MSTRG.1000",227,162,175,225,194,187,184,135,193,149
"MSTRG.1001",765,602,550,538,329,676,490,311,504,546
"MSTRG.1002",28,41,42,78,253,9,10,41,45,42
"MSTRG.1003",1068,975,1126,947,965,1223,844,474,729,1140
"MSTRG.1004",15,28,44,33,15,22,21,60,38,10
"MSTRG.1005",123,160,343,304,395,180,268,283,363,920
"MSTRG.1006",0,1,0,0,1,0,0,0,0,6
"MSTRG.1007",969,1491,2477,3123,2165,1939,2225,2456,3176,4386
"MSTRG.1008",0,0,0,0,1,0,0,0,0,0
"MSTRG.1009",24,33,40,54,42,34,28,29,40,55
"MSTRG.1010",4,3,10,11,3,5,5,1,9,7
"MSTRG.1011",775,785,781,757,563,751,728,553,634,625
"MSTRG.1012",14,10,19,16,5,12,14,6,7,6
"MSTRG.1013",331,423,492,690,360,362,399,436,557,383
"MSTRG.1014",1158,1223,1137,1385,2218,1641,1446,959,1394,1256
"MSTRG.1015",7,6,20,18,28,7,12,5,16,25
"MSTRG.1016",9,9,9,9,4,19,9,2,4,12
"MSTRG.1017",0,0,0,0,0,0,0,0,0,0
"MSTRG.1018",0,3,0,1,1,0,1,0,2,0
"MSTRG.1019",0,0,0,0,0,0,0,0,0,0
"MSTRG.1020",4,9,7,22,23,25,36,73,64,18
"MSTRG.1021",339,338,432,525,699,1070,1073,823,1025,528
"MSTRG.1022",0,0,1,1,1,1,0,0,3,2
"MSTRG.1023",2,0,6,5,6,3,3,4,3,0
"MSTRG.1024",1285,1743,2386,2571,4563,2013,2050,2207,2817,3111
"MSTRG.1025",0,3,1,1,0,1,2,0,0,0
"MSTRG.1026",0,0,0,0,0,0,0,0,0,0
"MSTRG.1027",41,40,41,33,45,22,17,29,36,37
"MSTRG.1028",56,58,69,38,16,25,26,2,13,27
"MSTRG.1029",2498,3353,5155,5228,1552,2257,1925,3191,3026,985
"MSTRG.1030",24,36,24,37,22,1,7,3,3,13
"MSTRG.1031",153,126,70,95,37,132,98,102,107,77
"MSTRG.1032",113,129,66,66,20,41,1,6,7,0
"MSTRG.1033",1,0,0,2,0,0,0,1,0,0
"MSTRG.1034",7,7,8,10,5,6,5,4,6,0
"MSTRG.1035",5,51,82,209,4,90,57,35,131,1
"MSTRG.1036",0,0,0,0,2,0,0,0,0,0
"MSTRG.1037",799,642,362,240,271,844,553,657,869,729
"MSTRG.1038",886,822,962,1010,1441,1017,903,681,1192,1193
"MSTRG.1039",5407,4445,3352,3097,1182,3738,3723,4810,2902,1243
"MSTRG.1040",0,0,0,0,1,0,0,0,0,0
"MSTRG.1041",3,0,1,1,0,2,3,0,0,0
"MSTRG.1042",669,417,336,268,137,424,396,325,173,23
"MSTRG.1043",140,82,52,41,40,57,88,48,43,10
"MSTRG.1044",22,20,21,20,20,24,14,7,11,13
"MSTRG.1045",904,859,1073,1338,1367,1030,877,631,1019,781
"MSTRG.1046",0,0,1,0,2,1,2,0,2,2
"MSTRG.1047",2,0,3,3,0,2,2,0,0,2
"MSTRG.1048",1,1,2,0,0,0,3,1,1,0
"MSTRG.1049",4,5,3,1,3,3,7,1,1,2
"MSTRG.1050",399,189,107,77,23,38,42,31,30,13
"MSTRG.1051",376,300,288,313,252,839,457,345,393,406
"MSTRG.1052",0,2,0,0,3,0,1,0,2,0
"MSTRG.1053",867,712,690,681,695,909,686,486,659,656
"MSTRG.1054",0,0,0,0,0,0,0,0,0,0
"MSTRG.1055",355,430,436,458,430,577,569,575,594,280
"MSTRG.1056",6405,5068,5992,5829,4658,7079,4481,3552,4489,3614
"MSTRG.1057",2,1,3,1,0,0,5,1,3,1
"MSTRG.1058",379,356,385,459,462,427,319,313,448,652
"MSTRG.1059",0,0,0,0,0,0,0,0,0,0
"MSTRG.1060",120,103,100,121,193,154,115,121,106,278
"MSTRG.1061",2,2,2,1,1,1,1,1,1,4
"MSTRG.1062",447,390,348,573,744,344,505,522,647,777
"MSTRG.1063",395,392,467,438,416,473,407,323,337,650
"MSTRG.1064",283,192,166,149,129,220,173,104,195,247
"MSTRG.1065",91,29,40,58,104,32,27,21,64,148
"MSTRG.1066",454,324,267,260,302,370,260,89,326,481
"MSTRG.1067",2,1,2,2,3,3,1,0,1,1
"MSTRG.1068",0,0,0,0,0,0,0,1,0,0
"MSTRG.1069",649,569,585,519,547,699,499,278,408,916
"MSTRG.1070",10,18,24,22,17,22,24,22,29,38
"MSTRG.1071",0,0,0,0,0,0,0,0,0,0
"MSTRG.1072",1,1,0,0,0,0,0,0,0,0
"MSTRG.1073",451,438,242,330,243,555,442,368,391,293
"MSTRG.1074",47,30,36,26,18,39,37,29,34,7
"MSTRG.1075",0,0,0,0,0,0,0,0,0,0
"MSTRG.1076",366,428,411,505,323,451,682,808,679,253
"MSTRG.1077",2,0,4,5,0,4,4,9,2,2
"MSTRG.1078",4,7,14,5,10,3,5,3,6,5
"MSTRG.1079",0,0,0,0,0,0,0,0,0,0
"MSTRG.1080",17,0,9,0,18,0,0,10,0,40
"MSTRG.1081",4,1,0,0,3,0,0,1,0,7
"MSTRG.1082",5,7,0,2,0,7,6,2,1,2
"ENSMUSG00000118203",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117886",9,10,10,6,1,7,11,6,1,10
"ENSMUSG00000118213",0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000118129",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000037263",1,0,0,1,2,0,1,0,3,4
"ENSMUSG00000037477",0,0,1,1,0,4,0,0,2,2
"ENSMUSG00000058216",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104921",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000064400",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118245",1,5,4,4,8,0,2,7,8,8
"ENSMUSG00000117718",0,1,2,1,1,2,1,2,3,0
"ENSMUSG00000042041",0,1,0,0,0,0,0,1,1,0
"ENSMUSG00000117723",0,0,0,1,2,2,0,0,1,0
"ENSMUSG00000118009",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117807",2,3,3,4,2,5,2,3,8,6
"ENSMUSG00000038498",0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000118610",0,0,0,0,1,2,0,3,0,5
"ENSMUSG00000039330",0,3,1,1,3,2,2,2,0,2
"ENSMUSG00000120167",4,4,4,3,0,0,0,2,0,2
"ENSMUSG00002076078",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117845",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000120141",2,0,1,3,0,2,4,3,0,1
"ENSMUSG00000024936",4,2,4,1,0,3,9,0,3,3
"ENSMUSG00000120562",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00002074969",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000037451",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118194",0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000024786",0,0,0,3,0,1,0,0,2,0
"ENSMUSG00000065523",0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000085196",3,5,5,10,3,4,3,5,7,5
"ENSMUSG00000117681",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118062",0,0,1,0,0,1,1,0,0,0
"ENSMUSG00000084825",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000085285",0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000119835",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00002075307",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000120626",0,0,0,0,0,0,1,0,1,1
"ENSMUSG00000118297",2,1,0,2,0,3,1,0,3,1
"ENSMUSG00000024973",1,1,1,0,0,0,0,0,0,0
"ENSMUSG00000024757",1,2,1,1,0,0,2,0,2,0
"ENSMUSG00000083160",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000081596",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053303",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118036",1,0,0,0,0,0,0,1,0,0
"ENSMUSG00000052562",1,1,0,2,2,0,0,1,2,0
"ENSMUSG00000118305",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071656",13,14,16,22,20,23,20,32,32,18
"ENSMUSG00000024653",1,0,0,0,1,0,0,0,0,0
"ENSMUSG00000101398",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096818",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100141",6,2,5,4,0,9,3,0,3,1
"ENSMUSG00000117756",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096872",1,0,0,0,0,0,0,0,0,0
"ENSMUSG00002076484",0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000117700",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000024738",0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000114772",0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000067577",2,0,1,0,0,6,2,3,6,0
"ENSMUSG00000024670",1,1,1,1,10,0,0,1,1,1
"ENSMUSG00000024731",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067571",0,0,0,7,0,0,0,0,0,0
"ENSMUSG00000094584",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101264",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000024730",0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000024728",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000057240",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099398",3,1,5,4,3,6,4,0,0,0
"ENSMUSG00000100392",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000056290",0,0,0,1,0,0,1,0,1,0
"ENSMUSG00000058470",0,0,0,2,1,0,1,0,1,0
"ENSMUSG00000120890",0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000024678",0,0,0,0,0,0,1,0,0,1
"ENSMUSG00000067555",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104088",0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000119417",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000024680",0,0,1,2,0,1,3,1,2,0
"ENSMUSG00000024681",0,0,0,2,1,1,0,0,0,0
"ENSMUSG00000055895",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000041857",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000088310",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000089625",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000055933",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100918",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000024682",0,1,0,0,0,1,1,1,0,0
"ENSMUSG00000060556",0,0,0,3,0,3,3,4,3,0
"ENSMUSG00000108966",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067545",1,1,1,0,1,0,1,0,2,0
"ENSMUSG00000060878",4,4,5,2,3,10,2,4,7,3
"ENSMUSG00000109030",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109047",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108947",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109223",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067528",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067526",1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000044994",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067525",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067524",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067522",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108889",0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000109410",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000094133",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109022",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067519",0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000097646",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060049",0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000118093",2,6,1,4,4,3,3,2,3,1
"ENSMUSG00000095640",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109433",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067513",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109229",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096436",0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000109328",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109007",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000046650",0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000050815",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000040065",1,0,0,0,0,0,1,0,0,0
"ENSMUSG00000063683",0,0,1,0,0,0,0,0,1,1
"ENSMUSG00000065892",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000044441",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000045030",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109309",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000024694",0,0,0,0,0,0,1,0,1,0
"ENSMUSG00000084981",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000091014",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000046272",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000045126",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000057817",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060303",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000048456",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000049498",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000062892",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000046913",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109148",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000094755",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000094986",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109126",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067482",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000061637",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000062844",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000057503",16,13,12,17,9,16,11,15,18,8
"ENSMUSG00000109415",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000045883",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000094721",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096365",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109100",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000119251",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000062199",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096485",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000049015",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109544",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108881",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000063777",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109230",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096320",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000095189",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109573",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096273",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096708",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109189",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071629",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109184",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108887",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118174",0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000095484",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108945",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109319",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108974",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096289",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109496",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109343",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00002075623",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00002076425",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000094846",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109285",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000045678",0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000077291",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000061387",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000051156",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109527",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109520",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050865",0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000047207",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000048356",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000044040",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109530",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000045395",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054526",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000057270",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000056858",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000058078",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059105",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000062314",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000098074",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000120068",2,1,1,3,0,1,0,2,3,3
"ENSMUSG00000103488",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00002076668",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000120901",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000063586",5,8,6,4,1,10,9,1,5,2
"ENSMUSG00000118757",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117995",3,3,1,0,0,1,1,1,3,0
"ENSMUSG00000117711",0,0,1,1,0,2,0,0,0,0
"ENSMUSG00000118142",0,1,0,0,0,1,0,0,0,0
"ENSMUSG00000118033",1,3,1,1,0,4,3,1,2,1
"ENSMUSG00000118126",2,3,0,1,0,7,0,5,5,0
"ENSMUSG00000056829",4,4,5,0,2,10,0,6,4,0
"ENSMUSG00000117941",0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000118367",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117946",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000088370",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118079",0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000119544",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00002076798",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117687",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117774",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118192",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117909",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000088907",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118109",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118150",0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000064783",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118067",1,0,0,0,0,2,0,0,0,0
"ENSMUSG00000118047",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118086",9,2,4,3,7,9,10,8,8,10
"ENSMUSG00000118090",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118044",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118342",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079382",1,0,3,2,3,1,1,0,1,4
"ENSMUSG00000121016",1,4,2,1,1,0,2,6,1,5
"ENSMUSG00000118055",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118237",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118273",0,0,0,0,0,1,0,1,0,0
"ENSMUSG00000118226",3,2,2,6,2,4,3,0,2,5
"ENSMUSG00000044387",0,0,0,0,3,0,0,0,0,0
"ENSMUSG00000120011",0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000120380",0,0,0,0,1,0,0,0,0,2
"ENSMUSG00000117837",0,0,0,0,3,0,0,0,0,0
"ENSMUSG00000118919",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117685",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096796",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117979",1,3,2,3,1,1,0,2,1,2
"ENSMUSG00000051490",0,0,0,0,0,5,13,4,3,1
"ENSMUSG00000064843",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117720",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000024837",8,2,0,0,1,1,0,0,0,0
"ENSMUSG00000101089",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000098105",6,5,7,5,6,3,4,3,6,9
"ENSMUSG00000118016",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117950",0,0,0,1,1,0,0,0,0,0
"ENSMUSG00000084589",0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000118005",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117707",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118001",0,0,0,1,1,1,0,0,1,0
"ENSMUSG00000117803",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000114682",0,0,0,0,0,0,1,0,0,1
"ENSMUSG00000074913",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118313",1,0,0,0,0,0,0,0,1,0
"ENSMUSG00000118209",0,0,1,2,1,0,1,0,2,0
"ENSMUSG00000118020",1,2,1,0,2,1,0,1,0,4
"ENSMUSG00000117692",0,0,0,0,0,1,1,2,2,0
"ENSMUSG00000120513",0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000047298",2,2,4,0,3,5,7,1,6,5
"ENSMUSG00000117752",0,1,0,1,0,1,0,0,0,1
"ENSMUSG00000117705",0,0,1,0,0,1,0,0,0,0
"ENSMUSG00000118072",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000088266",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117788",0,0,0,1,1,2,1,0,0,1
"ENSMUSG00000101084",0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000117862",0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000098069",0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000118165",2,2,0,1,1,2,2,1,1,3
"ENSMUSG00000118038",2,0,0,0,2,1,2,0,2,6
"ENSMUSG00000118320",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000120326",2,1,0,4,0,0,2,3,4,2
"ENSMUSG00000050957",5,3,2,1,1,6,3,5,5,3
"ENSMUSG00000024806",0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000117883",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087937",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000024815",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000120593",3,4,3,3,2,5,2,5,4,2
"ENSMUSG00000120075",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000024863",0,1,0,0,0,0,1,0,0,0
"ENSMUSG00002075891",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00002075253",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118374",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117953",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000058816",1,4,4,2,1,3,1,4,2,1
"ENSMUSG00000052595",0,4,2,0,0,0,1,0,0,0
"ENSMUSG00000114443",1,2,1,0,0,3,0,1,0,0
"ENSMUSG00000118366",0,0,0,0,0,0,0,0,1,1
"ENSMUSG00000118355",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118329",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118168",2,4,0,2,1,1,1,1,2,2
"ENSMUSG00000119982",0,1,0,0,0,0,0,0,0,1
"ENSMUSG00000120203",0,0,1,0,0,0,0,1,0,0
"ENSMUSG00000118196",0,0,1,0,1,0,2,2,1,0
"ENSMUSG00000087112",1,1,3,3,3,7,3,2,3,2
"ENSMUSG00000118289",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086875",0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000079344",5,9,1,0,0,27,14,1,0,0
"ENSMUSG00000118121",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079342",1,0,0,0,0,0,1,0,0,0
"ENSMUSG00000085934",1,0,0,0,0,2,1,0,0,0
"ENSMUSG00000117821",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000024768",0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000024771",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118302",0,0,1,0,0,1,0,0,0,0
"ENSMUSG00000024770",0,0,0,0,1,0,0,0,1,0
"ENSMUSG00002075813",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118066",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00002076079",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050370",1,2,5,3,5,0,4,1,3,6
"ENSMUSG00000097558",0,2,8,4,23,4,12,10,17,11
"ENSMUSG00000118048",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000074896",6,7,16,10,12,7,13,2,8,102
"ENSMUSG00000079339",4,3,15,11,13,14,14,14,11,16
"ENSMUSG00000062488",1,2,5,10,9,5,7,1,11,97
"ENSMUSG00000067297",6,5,7,5,4,3,5,10,5,4
"ENSMUSG00000118260",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000034459",0,1,3,1,3,3,0,1,3,9
"ENSMUSG00002074940",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118083",0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000088212",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117945",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101966",0,1,0,0,0,0,0,0,1,0
"ENSMUSG00000117865",0,0,0,1,1,0,0,0,0,0
"ENSMUSG00000117973",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000089087",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00002075816",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00002076303",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118212",0,0,0,2,2,0,1,3,0,1
"ENSMUSG00000077205",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000094707",0,0,3,1,9,4,1,2,2,1
"ENSMUSG00000024803",0,0,0,0,2,0,2,1,3,1
"ENSMUSG00000120701",0,0,0,0,1,0,0,1,0,0
"ENSMUSG00000114859",0,1,0,0,2,0,0,0,0,1
"ENSMUSG00000120860",0,0,0,1,0,0,0,1,1,0
"ENSMUSG00000117938",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000089143",0,0,0,0,0,0,0,0,0,0
